d,two_theta,intensity,h,k,l,mult,phase,id
1.0234,97.6493,8.55,2,1,5,8,Anglesite,96-900-4485
1.0216,97.883,1.17,3,4,4,8,Anglesite,96-900-4485
1.0168,98.4974,0,6,4,0,4,Anglesite,96-900-4485
1.0155,98.6684,3.41,4,6,2,8,Anglesite,96-900-4485
1.0131,98.9927,8.41,2,8,0,4,Anglesite,96-900-4485
1.01,99.3977,2.69,2,5,4,8,Anglesite,96-900-4485
1.006,99.935,19.89,4,5,3,8,Anglesite,96-900-4485
4.9811,17.7924,0.94,0,1,1,4,Cerussite,96-901-3804
4.4252,20.049,141.02,1,1,0,4,Cerussite,96-901-3804
4.2496,20.8868,72.25,0,2,0,2,Cerussite,96-901-3804
3.5915,24.7699,1000,1,1,1,8,Cerussite,96-901-3804
3.4957,25.4601,469.21,0,2,1,4,Cerussite,96-901-3804
3.0737,29.0269,169.63,0,0,2,2,Cerussite,96-901-3804
2.8982,30.8276,3.24,1,2,1,8,Cerussite,96-901-3804
2.8905,30.9113,15.66,0,1,2,4,Cerussite,96-901-3804
2.6438,33.8786,12.42,1,0,2,4,Cerussite,96-901-3804
2.5916,34.5822,143.76,2,0,0,2,Cerussite,96-901-3804
2.573,34.8407,4.2,0,3,1,4,Cerussite,96-901-3804
2.5245,35.5319,170.8,1,1,2,8,Cerussite,96-901-3804
2.4905,36.033,86.37,0,2,2,4,Cerussite,96-901-3804
2.486,36.1016,250.91,1,3,0,4,Cerussite,96-901-3804
2.3046,39.0523,0.02,1,3,1,8,Cerussite,96-901-3804
2.2991,39.1512,3.2,2,1,1,8,Cerussite,96-901-3804
2.2448,40.1369,0.03,1,2,2,8,Cerussite,96-901-3804
2.2126,40.747,60.68,2,2,0,4,Cerussite,96-901-3804
2.1248,42.511,22.26,0,4,0,2,Cerussite,96-901-3804
2.0832,43.4031,0.36,0,3,2,4,Cerussite,96-901-3804
2.0819,43.4315,273.53,2,2,1,8,Cerussite,96-901-3804
2.0082,45.1102,126.56,0,4,1,4,Cerussite,96-901-3804
1.9921,45.4964,0.36,0,1,3,4,Cerussite,96-901-3804
1.9813,45.7569,131.25,2,0,2,4,Cerussite,96-901-3804
1.9329,46.9712,236.72,1,3,2,8,Cerussite,96-901-3804
1.9296,47.0566,0.59,2,1,2,8,Cerussite,96-901-3804
1.8726,48.58,1.56,1,4,1,8,Cerussite,96-901-3804
1.8595,48.9451,171.96,1,1,3,8,Cerussite,96-901-3804
1.8458,49.3325,82.17,0,2,3,4,Cerussite,96-901-3804
1.8259,49.9051,2.88,2,3,1,8,Cerussite,96-901-3804
1.7957,50.8028,42.14,2,2,2,8,Cerussite,96-901-3804
1.7478,52.2991,18.4,0,4,2,4,Cerussite,96-901-3804
