# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1257
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model-censored-x-combined_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Ymi_y.1,Ymi_y.2,Ymi_y.3,Ymi_y.4,Ymi_y.5,Ymi_y.6,Intercept_y,bsp_y.1,sigma_y,Ymi_xstar.1,Intercept_xstar,sigma_xstar,Ycens_xstar.1,Ycens_xstar.2,Ycens_xstar.3,Ycens_xstar.4,Ycens_xstar.5,Ycens_xstar.6,Ycens_xstar.7,Ycens_xstar.8,Ycens_xstar.9,Ycens_xstar.10,Ycens_xstar.11,Ycens_xstar.12,Ycens_xstar.13,lprior,b_y_Intercept,b_xstar_Intercept
-125.203,0.999846,0.00386777,10,1023,0,141.718,-3.11205,-1.33667,-2.85616,-2.12609,-4.09237,-2.09869,0.637881,2.05049,1.16858,0.674143,0.152919,1.9755,-2.85428,-4.21029,-1.66998,-2.12963,-2.0814,-1.18827,-2.72232,-2.08183,-1.66927,-2.36118,-1.14365,-1.49004,-1.19349,-7.88148,0.637881,0.152919
-121.533,0.999951,0.00425267,10,1023,0,134.641,-2.77355,-4.48944,-3.3663,-1.70711,-5.64099,-2.54241,-0.302018,2.12585,1.07279,3.21964,-0.185022,1.73218,-1.12846,-3.59582,-1.84478,-1.49944,-1.20511,-1.79534,-4.02453,-1.43128,-1.51615,-1.3578,-1.37367,-2.13783,-1.93499,-7.82923,-0.302018,-0.185022
-120.713,0.999908,0.00467123,9,511,0,129.499,-2.25742,-4.07667,-3.41717,-2.73808,-6.17019,-2.58182,0.166929,1.9135,0.92969,1.37746,-0.369021,2.37025,-1.09408,-4.90635,-1.43801,-1.50324,-1.17308,-1.87047,-4.77766,-1.97706,-2.64864,-1.24433,-1.28319,-3.50677,-1.43851,-8.0483,0.166929,-0.369021
-124.416,0.999865,0.00512334,10,1023,0,134.765,-2.31833,-1.06361,-3.1241,-5.31319,-2.82093,-4.04877,-0.00993341,1.88473,1.14944,2.14385,-0.190185,1.68953,-2.02694,-3.08617,-2.35375,-1.47678,-2.34286,-1.64519,-3.52542,-1.03856,-1.00393,-1.08968,-3.4243,-1.12843,-1.88983,-7.80916,-0.00993341,-0.190185
-128.228,0.997615,0.00561057,9,511,0,148.648,-2.06501,-0.98476,-1.3176,-6.03623,0.232238,-2.66055,0.0362645,2.00819,1.29078,1.28676,-0.0755138,2.1466,-1.46095,-3.48698,-1.0887,-1.86215,-1.43074,-2.15444,-3.44139,-1.03497,-1.08693,-1.09381,-1.83386,-1.13049,-1.44723,-7.96674,0.0362645,-0.0755138
-128.903,0.999916,0.0060975,9,511,0,142.185,-2.04522,-0.877993,-1.30863,-6.07738,0.144413,-2.61521,-0.0100779,1.91384,1.24735,1.26586,-0.0213672,2.15641,-1.39948,-3.31169,-1.08843,-1.85092,-1.45411,-2.18958,-3.80703,-1.02888,-1.09451,-1.09119,-1.84837,-1.12709,-1.40248,-7.96544,-0.0100779,-0.0213672
-127.408,0.999863,0.00665907,9,511,0,141.38,0.182844,-1.25567,-1.38907,-3.95878,-0.926568,-4.01896,0.350656,1.8137,0.809478,2.16227,-0.560363,2.15637,-1.13402,-4.19007,-1.13842,-1.62844,-2.14186,-1.35269,-4.9389,-1.25536,-1.15439,-1.22284,-3.38094,-1.00791,-2.57295,-7.984,0.350656,-0.560363
-117.271,0.998508,0.00726051,9,511,0,138.459,-4.41086,-3.92982,-2.6463,-2.98124,-2.54727,-0.320737,0.318035,1.77163,1.01764,2.19013,-0.362561,1.81992,-1.37861,-3.94405,-1.45647,-2.15411,-2.10957,-1.41286,-4.61837,-3.06574,-2.25537,-2.37006,-1.40072,-1.4929,-1.00433,-7.85171,0.318035,-0.362561
-118.721,0.99893,0.00787594,9,511,0,129.877,-3.40355,-6.3479,-5.10474,-2.53141,-2.05314,-2.04449,0.121661,2.02144,0.984657,2.36687,-0.397949,1.69909,-1.37359,-2.88953,-1.48792,-1.48211,-1.48805,-2.31109,-3.62858,-2.19079,-2.69229,-1.41713,-1.75476,-1.16195,-1.01205,-7.81856,0.121661,-0.397949
-121.633,0.99925,0.00854095,8,255,0,130.931,-3.35411,-5.90077,-2.8799,-4.46253,-0.276345,-1.93927,0.363256,1.97147,1.26966,1.39855,-0.408025,2.2031,-1.67788,-3.28834,-2.34052,-2.09032,-1.98727,-1.46942,-2.74076,-1.54311,-2.9134,-3.05485,-1.47232,-1.1201,-1.19622,-8.01046,0.363256,-0.408025
-121.052,0.999316,0.00925667,9,1023,0,139.312,-3.20671,-7.0822,-4.8088,-2.3035,-0.854247,-2.01095,0.236428,2.02667,0.846083,1.82603,-0.517071,1.55366,-2.11135,-2.79002,-1.02491,-1.55178,-1.49348,-2.00783,-3.69919,-1.91666,-3.46292,-1.39889,-1.72086,-1.32524,-1.16855,-7.78002,0.236428,-0.517071
-125.715,0.997915,0.0100198,9,511,0,136.94,-8.78313,-11.8249,-2.69159,-2.65671,-3.06094,-5.29954,-0.0188911,1.99671,0.927493,1.92285,-0.451688,2.71156,-1.71439,-2.37643,-1.50096,-1.24372,-1.19871,-1.81408,-3.26572,-4.70804,-5.74174,-1.08695,-1.43251,-1.11434,-1.3451,-8.20144,-0.0188911,-0.451688
-129.152,0.998442,0.0107915,10,1023,0,137.432,-7.38807,-11.5871,-1.61842,-3.38206,-3.16729,-6.7384,-0.0481334,2.07219,1.48694,2.57162,-0.831369,2.70006,-1.58182,-2.46726,-1.75318,-1.53355,-1.08388,-1.1685,-1.91564,-3.94143,-6.13401,-1.9844,-1.78666,-2.78382,-3.48114,-8.30663,-0.0481334,-0.831369
-125.622,0.999207,0.0116228,10,1023,0,142.096,-1.09959,-4.02975,-3.60905,-3.35791,-2.82179,-3.44348,0.47167,2.04286,1.33888,1.51185,0.306839,2.28579,-1.38304,-3.76989,-1.62966,-1.96815,-2.70561,-1.731,-3.04516,-1.00561,-2.79028,-2.14614,-1.22551,-3.11946,-2.46518,-8.00902,0.47167,0.306839
-126.679,0.995941,0.0125261,8,511,0,142.899,-1.63594,-2.64308,-2.89584,-2.86788,-2.42886,-3.90203,-0.379174,1.81515,1.52904,3.51722,-0.791206,2.36857,-2.13585,-3.99147,-2.04219,-2.15244,-1.46907,-2.15298,-3.149,-1.036,-1.75252,-2.21282,-2.09213,-1.1379,-2.16404,-8.18446,-0.379174,-0.791206
-119.154,0.999181,0.0133707,8,255,0,136.045,-2.05266,-5.01006,-5.0056,-5.51626,-0.517614,-4.75617,-0.17,1.60039,1.18188,1.8093,-0.394565,2.1487,-1.91784,-3.47761,-1.8033,-2.0288,-2.33497,-1.84892,-3.583,-1.91628,-2.74885,-3.62027,-4.3319,-1.97284,-2.37519,-7.9958,-0.17,-0.394565
