# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = model_e2be5eb6573ecac874026412491317bd_model
# start_datetime = 2024-09-05 18:28:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/standata-177628368cc7.json
# init = 2 (Default)
# random
#   seed = 1245
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/model_e2be5eb6573ecac874026412491317bd-202409051528-1-470c15.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpBx2V2U/model_e2be5eb6573ecac874026412491317bd-profile-202409051528-1-45bfdf.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --name=model_e2be5eb6573ecac874026412491317bd_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,ar.1,sigma,nu,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.399116
# Diagonal elements of inverse mass matrix:
# 0.000444258, 0.849562, 0.834675, 0.026671, 0.787792
-64.5388,1,0.399116,2,3,0,66.1718,0.0795844,9.50241,0.948417,0.682249,26.4849,-9.06823,5.60277
-64.8293,0.969643,0.399116,3,7,0,65.7135,0.104796,10.1264,0.877802,0.59629,12.9519,-8.46068,4.99146
-65.7645,0.78667,0.399116,3,7,0,67.695,0.102842,9.34637,0.939289,0.707862,5.2867,-8.55706,4.30711
-65.4105,1,0.399116,3,7,0,66.7199,0.101287,9.35977,0.926004,0.581107,22.3141,-8.81213,4.3967
-66.2835,0.982786,0.399116,3,7,0,67.5567,0.096959,9.68411,0.942369,0.895462,18.0823,-8.63213,4.93312
-66.197,0.926154,0.399116,2,7,0,69.4504,0.110645,10.9046,0.989236,0.661412,20.7244,-8.87302,5.48304
-65.0666,0.967259,0.399116,3,15,0,68.2907,0.0969208,10.7646,0.956554,0.720574,26.2284,-9.16672,6.01553
-65.8609,0.905355,0.399116,2,3,0,66.7751,0.09936,10.773,0.953042,0.675351,41.1717,-10.2086,5.90433
-65.2369,0.975353,0.399116,3,7,0,66.9263,0.115696,9.798,0.942318,0.730348,9.84434,-8.41448,4.1289
-64.3057,0.977129,0.399116,2,7,0,66.6319,0.0945867,9.75527,0.962946,0.677501,24.1244,-8.94075,5.12052
-66.4416,0.684719,0.399116,2,7,0,68.0088,0.0808117,8.69269,0.980905,0.780958,16.4814,-8.54552,4.73292
-65.1921,0.920258,0.399116,3,15,0,67.6852,0.0860893,10.4011,0.952954,0.743624,27.9289,-9.23042,6.18271
-67.2187,0.704094,0.399116,2,3,0,71.9833,0.0908641,10.178,0.924566,0.644662,66.7925,-12.2147,5.72565
-65.2968,1,0.399116,2,3,0,67.6951,0.0948253,10.1154,0.906896,0.706105,53.4743,-11.1015,5.46892
-66.2816,0.763401,0.399116,3,7,0,69.0755,0.10202,9.00469,0.943827,0.751043,7.24577,-8.43588,4.00571
-66.4187,0.981573,0.399116,3,7,0,67.06,0.0741481,9.87312,0.932528,0.592625,18.5773,-8.64546,6.23986
-68.1051,1,0.399116,3,7,0,70.0326,0.125467,9.91148,0.873142,0.920263,17.6516,-8.62525,3.76361
-65.2814,0.982441,0.399116,3,15,0,68.9577,0.0725321,9.09943,0.958561,0.492144,5.5014,-8.52368,5.54535
-64.383,0.94225,0.399116,3,7,0,66.3098,0.110988,10.2234,0.947135,0.647717,7.77899,-8.47233,4.78493
-66.441,0.837429,0.399116,2,3,0,67.9461,0.102377,9.42359,0.805528,0.688214,5.06981,-8.56604,4.40709
-63.9984,0.942761,0.399116,2,7,0,68.7894,0.0954856,9.31692,0.869625,0.642787,9.86892,-8.37909,4.63812
-66.753,0.831288,0.399116,3,7,0,67.8723,0.0735835,9.58682,0.985836,0.726356,33.2359,-9.52624,5.98123
-66.0768,0.959006,0.399116,3,7,0,69.1597,0.0855294,8.46274,0.952432,0.624834,5.66502,-8.52792,4.2718
-65.5981,0.970255,0.399116,2,7,0,68.4678,0.0907465,10.2371,0.869812,0.755279,14.5457,-8.52043,5.79054
-64.5507,1,0.399116,3,7,0,66.2533,0.081623,10.0319,0.954017,0.666189,17.616,-8.62086,6.03241
-65.9647,0.88913,0.399116,3,7,0,68.0007,0.110535,9.76478,0.934877,0.656458,49.6954,-10.7731,4.34854
-66.96,0.907305,0.399116,2,7,0,70.3442,0.0912044,10.8345,0.976104,0.827549,21.6557,-8.91862,6.36547
-69.3437,0.975246,0.399116,3,11,0,72.1718,0.105039,10.591,0.998749,0.692009,5.4351,-8.64374,5.44404
-67.8655,0.904737,0.399116,3,15,0,72.7566,0.0679336,8.59524,0.997815,0.685989,15.6203,-8.51146,5.26649
-66.9378,0.953964,0.399116,2,7,0,70.9304,0.0806184,8.95258,0.993606,0.596008,5.42099,-8.5393,5.00228
-65.106,0.956808,0.399116,3,15,0,68.2987,0.0743237,9.40585,0.923747,0.542239,7.1427,-8.43118,5.76399
-66.0819,0.893509,0.399116,3,7,0,67.4551,0.0782088,9.94688,0.978814,0.764019,24.1255,-8.95891,6.11465
-66.4808,0.905887,0.399116,3,7,0,68.5943,0.126103,11.4176,0.964104,0.601989,8.06845,-8.62705,5.23856
-66.7136,0.927444,0.399116,4,15,0,69.6643,0.0999882,10.0447,0.974376,0.451875,2.92319,-8.94332,5.14526
-66.9372,0.968764,0.399116,3,15,0,69.0522,0.0629325,8.33641,0.940874,0.406041,2.7158,-8.96234,5.25272
-67.1463,0.310389,0.399116,3,7,0,73.0965,0.0710572,9.24944,0.988689,0.613184,3.69704,-8.75152,5.76764
-73.4253,0.905096,0.399116,4,15,0,76.7381,-0.0258218,4.63756,0.995251,0.563435,2.33484,-9.70909,5.90283
-66.207,0.963779,0.399116,4,15,0,76.1321,0.0807287,9.77202,0.983252,0.519778,3.9972,-8.72041,5.81631
