# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1256
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=carmodel_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,ar.1,sigma,b_Intercept
-192.58,0,9.67816,0,1,1,193.198,0.236078,0.728689,1.13181,0.236078
-192.58,0.00376919,1.32483,2,3,0,193.78,0.236078,0.728689,1.13181,0.236078
-191.821,0.999296,0.117026,5,31,0,193.182,-0.0551101,0.749961,1.24471,-0.0551101
-191.451,0.999996,0.14662,5,31,0,192.177,-0.330724,0.674575,1.12276,-0.330724
-191.387,0.999956,0.218493,4,15,0,191.749,-0.289008,0.723581,1.10096,-0.289008
-191.557,0.944969,0.360445,2,5,0,193.65,-0.216291,0.643625,1.16281,-0.216291
-192.134,0.978255,0.53285,3,7,0,193.263,0.128639,0.686691,1.18061,0.128639
-192.237,0.880921,0.904242,3,7,0,193.583,-0.0632722,0.796067,1.12956,-0.0632722
-191.869,1,1.15227,2,3,0,192.223,0.0798521,0.697336,1.12607,0.0798521
-191.869,0.00605046,2.1614,1,1,0,194.654,0.0798521,0.697336,1.12607,0.0798521
-192.803,0.996891,0.176402,5,31,0,194.132,-0.525267,0.745097,1.27299,-0.525267
-192.306,0.996879,0.332258,4,15,0,193.399,0.00140329,0.661557,1.09559,0.00140329
-192.137,0.990827,0.626169,2,7,0,193.448,-0.380415,0.705762,1.26918,-0.380415
-191.764,1,1.15467,2,3,0,192.49,0.0636551,0.723698,1.1113,0.0636551
-191.764,0.044675,2.17949,2,3,0,192.695,0.0636551,0.723698,1.1113,0.0636551
-192.049,0.998595,0.216048,4,31,0,192.627,0.0443238,0.727736,1.25269,0.0443238
-191.398,0.994267,0.408605,3,7,0,192.619,-0.00802279,0.743874,1.13308,-0.00802279
-191.701,0.940172,0.756511,2,7,0,192.698,-0.31711,0.72202,1.24788,-0.31711
-191.372,0.952755,1.18008,2,3,0,191.947,-0.373443,0.701103,1.12668,-0.373443
-191.372,0.0421434,1.89869,2,3,0,192.445,-0.373443,0.701103,1.12668,-0.373443
-193.088,0.988505,0.205375,4,15,0,193.535,-0.338447,0.603261,1.26125,-0.338447
-191.39,0.992739,0.369793,4,15,0,194.173,-0.276632,0.74932,1.20635,-0.276632
-192.48,0.939969,0.667733,2,3,0,192.578,-0.438457,0.639539,1.11563,-0.438457
-192.48,0.668597,1.0256,1,1,0,193.776,-0.438457,0.639539,1.11563,-0.438457
-192.687,0.987843,0.720346,3,7,0,193.177,0.0244556,0.805859,1.21856,0.0244556
-193.486,0.242735,1.25759,2,3,0,194.946,-0.136881,0.821209,1.26468,-0.136881
-191.136,0.992085,0.26828,3,7,0,194.155,-0.112232,0.738819,1.18251,-0.112232
-191.082,0.995189,0.47353,3,11,0,191.762,-0.193694,0.726484,1.19386,-0.193694
-192.346,0.798956,0.835057,2,3,0,193.41,-0.0652537,0.706792,1.28943,-0.0652537
-191.431,0.994762,0.852311,2,3,0,192.781,-0.274893,0.663946,1.1262,-0.274893
-193.037,0.406765,1.48011,2,3,0,193.437,0.0444345,0.798097,1.26604,0.0444345
-192.063,1,0.522602,3,7,0,193.768,-0.14158,0.643881,1.24093,-0.14158
-192.137,0.907816,0.915703,2,7,0,193.978,0.0308583,0.783394,1.21344,0.0308583
-191.801,1,1.24536,2,3,0,192.189,-0.336591,0.648984,1.12371,-0.336591
-191.801,0,2.1476,1,1,0,193.463,-0.336591,0.648984,1.12371,-0.336591
