# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1256
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.995
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=models/armodel_gam_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1_1,ar.1,sigma,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,b_Intercept
-213.23,0.999985,0.00403134,10,1023,0,219.996,0.587907,1.83551,1.08724,-0.987451,-0.266586,-0.92613,1.20273,1.40252,-0.648104,0.727614,5.20135,0.918564,1.19468,5.6551,-5.13608,-1.38661,-4.81713,6.2558,7.29499,-3.37101,3.78457,0.587907
-215.539,0.996983,0.00435892,10,1023,0,226.466,-0.407329,5.92555,-1.62847,0.574689,-0.19897,0.362015,0.70043,1.684,0.279169,-0.372526,0.36799,0.887007,1.24523,-0.59926,0.21148,-0.0732188,0.133218,0.257751,0.619693,0.102731,-0.137086,-0.407329
-215.515,0.99996,0.00466896,10,1023,0,225.276,0.207598,1.01691,1.6079,-0.255373,0.746493,1.92708,1.43916,-1.58546,-0.000399625,0.190277,2.88194,0.911171,1.26875,4.63388,-0.735969,2.15135,5.55374,4.14756,-4.56921,-0.00115169,0.548366,0.207598
-214.948,0.999334,0.00503493,9,1023,0,221.668,1.19158,0.0612062,1.27083,0.927349,1.24803,0.991339,0.75392,-0.46753,-0.539679,-0.954901,2.37487,0.908025,1.2903,3.01805,2.20233,2.96391,2.3543,1.79046,-1.11032,-1.28166,-2.26776,1.19158
-215.146,0.996184,0.00541337,10,1023,0,224.613,0.363644,-2.05363,-2.50323,-0.528977,0.506488,-1.16284,-0.0316169,0.0321683,0.338375,1.35783,1.9602,0.847923,1.40136,-4.90683,-1.0369,0.992819,-2.27941,-0.0619754,0.0630564,0.663283,2.66162,0.363644
-213.213,0.999582,0.00576475,9,511,0,219.678,0.466538,-2.64677,-0.0424225,-0.340195,-0.127161,1.44561,-1.84898,0.199912,-0.297392,-0.0322059,2.44197,0.902628,1.40105,-0.103595,-0.830747,-0.310525,3.53015,-4.51516,0.488179,-0.726223,-0.0786458,0.466538
-218.94,0.999017,0.00618641,9,511,0,225.532,1.22048,-4.50057,1.42107,0.0150731,2.97346,1.3176,-1.28623,-0.508507,0.437026,0.684501,1.36108,0.864461,1.29319,1.93419,0.0205156,4.04711,1.79336,-1.75066,-0.692117,0.594825,0.931657,1.22048
-217.576,0.99989,0.00662071,9,511,0,225.033,-0.751753,-4.66753,-0.43488,-0.917753,1.22261,-0.671531,0.198662,-1.18126,2.05755,-0.45006,0.821531,0.916466,1.28959,-0.357268,-0.753963,1.00442,-0.551683,0.163207,-0.970444,1.69034,-0.369738,-0.751753
-215.222,0.999719,0.00709259,9,511,0,221.883,0.243757,-4.10242,1.30799,-0.329292,-0.0884336,1.688,0.0328426,1.78501,-1.53988,0.417301,2.02615,0.881817,1.27896,2.65017,-0.667195,-0.17918,3.42013,0.066544,3.61669,-3.12003,0.845513,0.243757
-215.145,0.999927,0.00758526,9,511,0,219.244,0.60953,-4.56001,1.65491,0.255094,1.60512,0.446499,1.03111,1.12057,-1.76713,0.934835,2.48914,0.887621,1.25438,4.11931,0.634965,3.99536,1.1114,2.56658,2.78925,-4.39863,2.32694,0.60953
-211.319,0.999136,0.00810646,8,511,0,222.072,0.67111,-4.35087,0.0260335,-1.81113,0.442716,-1.36015,-0.366494,0.656011,-0.470646,-0.244689,4.26483,0.871673,1.16777,0.111029,-7.72418,1.88811,-5.80081,-1.56303,2.79778,-2.00723,-1.04356,0.67111
-213.022,0.999598,0.00863585,8,255,0,216.273,1.0181,-4.44096,0.134238,-2.00141,0.0464055,-0.758901,-0.148058,1.23483,-0.485799,-0.0788336,4.74584,0.90187,1.16515,0.637073,-9.49838,0.220234,-3.60163,-0.702659,5.86029,-2.30553,-0.374132,1.0181
-215.341,0.985478,0.00919978,8,255,0,220.095,-0.431789,-4.54619,0.0542277,1.13021,0.348697,0.916536,0.188034,0.39748,-0.741766,2.27639,2.79374,0.895155,1.16862,0.151498,3.15751,0.97417,2.56056,0.525317,1.11046,-2.0723,6.35963,-0.431789
-212.946,0.999362,0.00945316,9,1023,0,219.883,1.13136,-5.96937,0.605838,-0.146551,1.05318,0.767058,0.750793,-0.948327,-0.11642,1.00653,5.00739,0.888143,1.24288,3.03367,-0.733836,5.2737,3.84096,3.75951,-4.74864,-0.582958,5.04009,1.13136
-214.628,0.997435,0.0100443,8,255,0,218.31,-0.12664,-6.2943,-0.387742,-1.59823,0.964002,-0.0839596,0.16138,0.795327,-2.50603,0.54753,2.2727,0.906655,1.27326,-0.881221,-3.63229,2.19089,-0.190815,0.366768,1.80754,-5.69546,1.24437,-0.12664
-215.11,0.9851,0.0106108,8,255,0,222.135,0.489484,-4.77478,-0.537069,-1.03485,1.40114,-0.18668,1.71824,1.4533,-1.04111,0.890882,1.56075,0.826037,1.31216,-0.838232,-1.61514,2.18683,-0.29136,2.68175,2.26824,-1.62492,1.39044,0.489484
-218.096,0.994952,0.0108685,8,511,0,222.296,-0.0133523,-4.23258,0.570178,0.691255,1.02499,0.761849,0.776477,-1.29115,-0.319166,-0.935947,2.26135,0.83036,1.16742,1.28937,1.56317,2.31788,1.72281,1.75589,-2.91976,-0.721748,-2.11651,-0.0133523
