# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1256
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=models/armodel_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,ar.1,sigma,b_Intercept
-177.562,0.405455,1.39879,2,3,0,178.117,0.0663049,0.78739,1.03141,0.0663049
-177.579,0.961512,0.574969,2,7,0,179.315,-0.230349,0.780322,1.00577,-0.230349
-177.832,0.845992,0.836632,2,3,0,179.793,-0.334842,0.805128,0.951338,-0.334842
-178.082,0.844937,0.935484,3,7,0,179.59,-0.00191062,0.896347,1.13997,-0.00191062
-177.407,0.936794,1.04211,2,3,0,178.737,-0.0898083,0.813822,1.1189,-0.0898083
-178.609,0.402715,1.4207,2,3,0,179.751,0.59195,0.917477,1.06163,0.59195
-176.46,0.979711,0.595921,2,7,0,180.475,-0.14491,0.871111,1.00959,-0.14491
-178.405,0.68068,0.891982,2,3,0,178.794,-0.149652,0.927042,1.07087,-0.149652
-177.505,1,0.693537,3,7,0,179.113,-0.170113,0.778206,1.03505,-0.170113
-180.057,0.529283,1.0786,1,3,0,180.553,0.247907,0.758086,1.11208,0.247907
-178.064,0.982819,0.606673,3,7,0,181.42,-0.689693,0.856556,0.995378,-0.689693
-176.853,0.986024,0.905586,2,3,0,178.31,0.141473,0.828166,1.05952,0.141473
-177.111,0.955511,1.35493,1,3,0,177.329,0.272109,0.854988,1.07808,0.272109
-177.111,1.6042e-38,1.89213,1,1,0,180.666,0.272109,0.854988,1.07808,0.272109
-177.775,0.98509,0.352968,3,7,0,178.091,0.131214,0.913405,1.07272,0.131214
-176.815,1,0.526251,3,7,0,177.74,0.00501754,0.808879,1.01899,0.00501754
-176.859,0.989558,0.80585,2,7,0,177.312,-0.354961,0.843991,1.08052,-0.354961
-176.554,1,1.20216,2,3,0,176.885,-0.171691,0.853817,1.07576,-0.171691
