# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1256
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=carmodel_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,ar.1,sigma,lprior,b_Intercept
-194.543,0.840038,0.529312,2,7,0,195.628,-0.314928,0.813383,1.21915,-3.56918,-0.314928
-195.227,0.939841,0.606313,2,7,0,196.804,0.326524,0.807681,1.1618,-3.59523,0.326524
-192.291,0.882895,0.952918,2,3,0,195.123,-0.307944,0.703444,1.16172,-3.10135,-0.307944
-192.291,0.00852213,1.25203,1,1,0,193.973,-0.307944,0.703444,1.16172,-3.10135,-0.307944
-193.253,0.996307,0.109418,4,15,0,193.358,-0.313901,0.777489,1.18334,-3.39103,-0.313901
-193.599,0.983531,0.206958,4,31,0,197.494,-0.102226,0.710678,1.29386,-3.17022,-0.102226
-193.084,0.967025,0.373876,2,7,0,196.759,-0.11463,0.713829,1.06938,-3.12726,-0.11463
-193.055,0.936893,0.637699,3,7,0,194.948,-0.157307,0.668132,1.25824,-3.02804,-0.157307
-192.737,0.957946,0.98618,2,3,0,193.599,-0.254601,0.725551,1.23288,-3.19658,-0.254601
-193.686,0.128626,1.61357,2,3,0,194.298,0.0636219,0.769805,1.10061,-3.36845,0.0636219
-195.19,0.97138,0.225654,3,7,0,195.947,0.24904,0.690135,1.07668,-3.09545,0.24904
-195.226,0.977589,0.386039,3,7,0,196.284,-0.74077,0.760997,1.25234,-3.33908,-0.74077
-192.247,1,0.666681,2,3,0,194.696,-0.152437,0.698881,1.18368,-3.10069,-0.152437
-192.247,0.0214601,1.21718,1,3,0,193.05,-0.152437,0.698881,1.18368,-3.10069,-0.152437
-192.428,0.998297,0.134343,4,31,0,193.002,-0.132945,0.683208,1.12004,-3.03966,-0.132945
-195.218,0.934118,0.245028,3,11,0,195.818,-0.204646,0.832081,1.21855,-3.67122,-0.204646
-192.855,0.979503,0.369472,2,7,0,196.803,-0.216628,0.683648,1.08071,-3.0265,-0.216628
-196.605,0.339961,0.627877,2,3,0,198.476,-0.326004,0.497381,1.16482,-2.7703,-0.326004
-195.227,0.999692,0.180837,3,7,0,196.846,-0.332503,0.540541,1.14837,-2.77937,-0.332503
-195.598,0.96542,0.323878,3,7,0,197.531,-0.212449,0.842155,1.17847,-3.71555,-0.212449
-197.596,0.852659,0.523439,3,7,0,201.576,0.319861,0.768683,1.00872,-3.38095,0.319861
-194.17,1,0.619455,2,3,0,198.54,-0.569444,0.654873,1.11789,-2.94873,-0.569444
-194.17,0.0303829,1.08374,2,3,0,196.66,-0.569444,0.654873,1.11789,-2.94873,-0.569444
-193.189,0.997304,0.14382,4,15,0,195.916,-0.249406,0.627949,1.10812,-2.89181,-0.249406
-194.299,0.969994,0.250484,4,15,0,195.51,-0.0920249,0.789558,1.27095,-3.481,-0.0920249
-194.395,0.981814,0.402689,3,7,0,195.99,-0.0627977,0.5793,1.20512,-2.84709,-0.0627977
-196.822,0.775633,0.662513,2,3,0,198.022,-0.54666,0.805574,1.03593,-3.48584,-0.54666
-193.497,1,0.636885,2,3,0,196.735,-0.181305,0.750406,1.06425,-3.25702,-0.181305
-194.377,0.498576,1.08524,1,1,0,194.932,-0.562634,0.720309,1.07156,-3.13487,-0.562634
-194.724,0.838734,0.5159,2,3,0,197.129,0.0968383,0.636972,1.08758,-2.93737,0.0968383
-194.134,0.434551,0.582532,2,3,0,198.177,-0.48356,0.656034,1.07683,-2.9421,-0.48356
-195.027,0.965427,0.239728,2,3,0,195.184,-0.564518,0.639891,1.07947,-2.90487,-0.564518
-194.191,1,0.371691,3,7,0,196.024,-0.0892602,0.614448,1.08181,-2.87108,-0.0892602
-193.527,1,0.623368,3,7,0,194.654,-0.175298,0.610921,1.23751,-2.89395,-0.175298
-193.074,0.606921,1.0377,2,3,0,194.355,0.121246,0.720296,1.15117,-3.19286,0.121246
-192.458,1,0.661828,2,3,0,193.021,-0.360422,0.683864,1.15834,-3.03804,-0.360422
-195.068,0.114653,1.09328,2,3,0,196.171,-0.703083,0.788698,1.21071,-3.449,-0.703083
-192.463,0.9924,0.216324,3,11,0,195.889,-0.368308,0.692984,1.15166,-3.06377,-0.368308
-192.619,0.99804,0.351157,3,7,0,192.74,-0.0286196,0.734785,1.13248,-3.22417,-0.0286196
-193.782,0.848497,1.1477,2,3,0,193.861,0.232858,0.724673,1.14606,-3.22301,0.232858
-193.782,0,12.535,0,1,1,194.124,0.232858,0.724673,1.14606,-3.22301,0.232858
-193.697,0.334388,1.95236,2,3,0,194.116,-0.20428,0.707291,1.30296,-3.1537,-0.20428
-194.094,0.988466,0.448031,4,15,0,194.642,-0.077239,0.774231,1.06398,-3.36513,-0.077239
-192.665,0.998242,0.60735,3,7,0,194.707,-0.397896,0.728462,1.14882,-3.182,-0.397896
-198.157,0.478302,0.965171,2,3,0,198.224,-0.928806,0.668511,1.13455,-3.00677,-0.928806
-194.006,0.988727,0.337145,3,7,0,199.961,0.201148,0.677669,1.14978,-3.06784,0.201148
-193.795,1,0.572174,3,7,0,194.843,-0.490851,0.746107,1.08837,-3.23437,-0.490851
-193.812,0.921224,1.04214,2,3,0,196.477,-0.445304,0.747746,1.2669,-3.2829,-0.445304
-193.812,0.075423,1.51057,2,3,0,196.679,-0.445304,0.747746,1.2669,-3.2829,-0.445304
-193.853,1,0.15234,4,15,0,194.239,-0.476601,0.743937,1.26523,-3.26724,-0.476601
-193.052,0.999719,0.287941,3,7,0,194.141,-0.40641,0.681864,1.23774,-3.0499,-0.40641
-193.546,0.977744,0.546099,2,3,0,193.818,-0.517677,0.70656,1.24266,-3.12694,-0.517677
-193.487,0.960006,0.966358,2,3,0,194.072,-0.524679,0.663343,1.20433,-2.98982,-0.524679
-192.839,0.397269,1.61329,2,3,0,194.079,0.0634613,0.726062,1.14131,-3.20403,0.0634613
-192.726,0.993681,0.468991,3,7,0,193.494,-0.0280412,0.740998,1.19948,-3.26341,-0.0280412
-192.835,1,0.870158,2,3,0,193.056,-0.0315011,0.70979,1.23269,-3.15851,-0.0315011
-192.652,0.944927,1.63369,1,1,0,193.011,-0.239265,0.743335,1.20618,-3.25768,-0.239265
-192.652,4.74389e-08,2.57322,1,1,0,193.4,-0.239265,0.743335,1.20618,-3.25768,-0.239265
-193.126,0.997646,0.235098,4,15,0,193.418,-0.101577,0.761599,1.22682,-3.34605,-0.101577
-194.538,0.966077,0.437569,3,7,0,196.236,-0.201332,0.677816,1.01721,-2.99716,-0.201332
-192.549,0.982799,0.734764,2,3,0,194.71,-0.252873,0.747719,1.15851,-3.26298,-0.252873
-192.549,0.720844,1.28519,1,3,0,193.259,-0.252873,0.747719,1.15851,-3.26298,-0.252873
-195.178,0.433599,1.04025,2,3,0,196.024,-0.580329,0.800226,1.25896,-3.51136,-0.580329
-194.282,0.979747,0.369384,3,7,0,196.965,0.0331503,0.60407,1.19948,-2.89189,0.0331503
-193.883,0.610578,0.635711,2,7,0,199.657,-0.0537593,0.777142,1.26008,-3.42545,-0.0537593
-197.113,0.937999,0.381006,3,7,0,197.958,-0.12564,0.51075,1.31074,-2.81845,-0.12564
