# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1257
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model-censored-x-combined_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Ymi_y.1,Ymi_y.2,Ymi_y.3,Ymi_y.4,Ymi_y.5,Ymi_y.6,Intercept_y,bsp_y.1,sigma_y,Ymi_xstar.1,Intercept_xstar,sigma_xstar,Ycens_xstar.1,Ycens_xstar.2,Ycens_xstar.3,Ycens_xstar.4,Ycens_xstar.5,Ycens_xstar.6,Ycens_xstar.7,Ycens_xstar.8,Ycens_xstar.9,Ycens_xstar.10,Ycens_xstar.11,Ycens_xstar.12,Ycens_xstar.13,lprior,b_y_Intercept,b_xstar_Intercept
-118.652,0.999873,0.0156877,8,511,0,136.914,-1.64654,-1.31148,-1.12986,-2.22868,-5.51237,-3.917,0.213464,2.0595,0.908573,1.81321,-0.238739,2.05141,-1.32075,-3.92581,-2.05338,-1.69094,-1.59762,-1.15757,-4.44621,-1.19445,-1.13537,-1.32254,-2.03182,-2.0704,-1.70291,-7.91309,0.213464,-0.238739
-112.613,0.989766,0.0168469,8,255,0,130.525,-2.96388,-2.71885,-6.24552,-3.60633,-4.88467,-1.48926,0.216935,1.90108,0.919767,2.03361,0.272474,1.93098,-1.60611,-3.66852,-1.45387,-1.68173,-1.87545,-2.67739,-4.18476,-1.5542,-1.14516,-3.71193,-2.05688,-2.5088,-1.4943,-7.8516,0.216935,0.272474
-118.193,0.994562,0.0176263,9,1023,0,131.504,-10.6498,-10.287,-10.0997,-6.48269,-5.86999,-10.4046,-0.01623,2.06,0.857678,1.38727,-1.5561,2.70799,-1.55538,-3.45082,-1.06428,-1.57948,-1.36488,-1.46243,-2.99541,-4.62802,-5.93584,-4.37852,-3.52198,-3.11363,-5.35155,-8.45556,-0.01623,-1.5561
-125.098,0.919334,0.0186428,9,767,0,139.972,-1.38161,-5.95026,0.686924,-4.39218,-2.19435,-3.05994,0.234721,1.59508,1.55969,2.67477,-0.54005,2.60759,-2.34982,-3.47587,-2.0907,-2.48556,-3.98204,-2.52327,-5.57183,-2.62767,-4.58355,-1.29133,-3.33575,-1.75404,-3.73923,-8.21527,0.234721,-0.54005
-128.343,0.999715,0.0164169,8,255,0,143.428,-1.53725,-7.52839,0.125228,-4.8273,-0.796889,-2.90221,0.129982,2.00328,1.20065,0.875392,-0.24417,1.88138,-1.46846,-2.23734,-1.10959,-1.52411,-1.15163,-1.31711,-3.45081,-1.06037,-3.73953,-1.0136,-3.04097,-1.48871,-1.33697,-7.87619,0.129982,-0.24417
-124.967,0.994869,0.0175678,8,255,0,141.459,-0.162862,-6.67074,-1.39235,-5.44786,-3.90955,-3.61412,0.596898,1.85023,1.22184,2.72728,-0.409372,1.79495,-1.98445,-3.68848,-1.02297,-2.13133,-1.39307,-2.01075,-3.40567,-1.53737,-3.93233,-1.02047,-4.16242,-1.73101,-2.41785,-7.86322,0.596898,-0.409372
-119.018,0.999476,0.0185618,8,255,0,130.478,-4.00818,-5.47931,-1.95869,-2.87521,-4.5243,-3.50907,0.17607,1.98843,0.982974,1.53074,-0.232543,1.58007,-1.30244,-3.27077,-1.0142,-1.35001,-1.28797,-1.64897,-3.15934,-1.19198,-2.12014,-1.2542,-1.99594,-1.71274,-1.84922,-7.76288,0.17607,-0.232543
-126.035,0.999339,0.0198086,8,511,0,138.891,-3.67219,-5.80577,-3.02633,-3.08495,-0.905079,-5.62247,0.571945,1.29092,1.11045,3.07131,-1.03305,2.45433,-3.19739,-4.96167,-1.06249,-2.96096,-3.40166,-2.6819,-5.23306,-2.0194,-3.33879,-3.36887,-1.44099,-2.01369,-4.94948,-8.21148,0.571945,-1.03305
-120.158,0.999989,0.0211096,7,127,0,137.098,-1.97278,-6.03168,-3.95583,-2.12009,-0.607688,-5.3851,0.283788,2.07477,0.900132,1.4793,0.350571,2.00306,-1.18499,-3.25465,-1.68821,-1.63823,-1.30071,-1.6228,-3.29384,-1.90465,-1.62945,-1.72701,-1.40065,-1.22109,-2.78797,-7.87627,0.283788,0.350571
-125.191,0.994715,0.0225067,9,639,0,133.469,-1.33667,-1.57966,-0.940041,-6.11084,-3.11297,-6.49555,0.315045,1.92372,0.946227,1.91364,0.474865,1.57607,-1.27024,-3.88482,-2.55668,-1.88596,-1.31583,-2.25374,-3.95716,-1.79598,-1.00214,-1.38869,-3.01143,-1.44839,-2.82976,-7.74525,0.315045,0.474865
