# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1257
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model-censored-x_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept_y,bsp_y.1,sigma_y,Ymi_xstar.1,Intercept_xstar,sigma_xstar,Ycens_xstar.1,Ycens_xstar.2,Ycens_xstar.3,Ycens_xstar.4,Ycens_xstar.5,Ycens_xstar.6,Ycens_xstar.7,lprior,b_y_Intercept,b_xstar_Intercept
-92.2132,0.965881,0.0394885,6,63,0,97.8785,-0.0311457,2.22845,0.925691,1.53388,0.143812,1.99597,-1.21414,-3.12577,-1.12591,-1.25957,-1.97107,-1.35169,-3.483,-7.88094,-0.0311457,0.143812
-95.2605,0.925292,0.0640785,5,31,0,102.459,-0.219551,2.08117,0.834096,2.03705,0.235346,1.54049,-1.21377,-3.18486,-1.11072,-1.37163,-2.40672,-1.2343,-2.85541,-7.73623,-0.219551,0.235346
-95.8983,0.969004,0.0927292,5,31,0,100.629,-0.245627,2.17501,0.802617,2.64916,0.334036,1.59459,-1.20121,-3.89004,-1.11207,-1.32884,-1.22407,-1.18488,-3.11946,-7.75357,-0.245627,0.334036
-96.5604,0.570441,0.14951,4,31,0,101.847,-0.0831898,2.39269,0.930736,1.37987,0.11131,2.28441,-1.75016,-3.2711,-1.23679,-1.23745,-1.3494,-1.06109,-3.09437,-7.98942,-0.0831898,0.11131
-94.422,0.884931,0.0852729,5,31,0,101.535,-0.0400449,2.07085,1.19112,2.2515,-0.0280176,2.16956,-1.11637,-3.17881,-1.83964,-1.64884,-1.21394,-2.43104,-3.84996,-7.96724,-0.0400449,-0.0280176
-92.6154,0.9348,0.110017,3,7,0,97.3322,0.124041,1.84247,0.857632,2.06974,0.220896,1.62766,-1.12788,-3.76625,-1.90171,-1.67772,-1.27108,-2.60163,-3.51197,-7.75109,0.124041,0.220896
-91.6032,0.123734,0.160537,4,15,0,96.2782,0.237436,1.89274,0.983611,2.18633,0.000216464,1.98714,-1.12768,-3.61313,-1.72529,-1.85175,-1.27978,-2.42203,-3.39066,-7.87835,0.237436,0.000216464
-92.2595,0.993304,0.0299265,6,63,0,96.0485,0.0594531,1.93493,0.889856,1.88612,0.618468,1.60379,-1.1448,-3.4933,-2.07157,-1.78672,-1.26406,-1.5605,-4.14803,-7.76598,0.0594531,0.618468
-93.7702,0.997125,0.0507701,6,63,0,97.7933,0.133194,2.0684,0.767642,1.95899,-0.379991,2.42935,-2.187,-3.63598,-1.46641,-1.35559,-1.11656,-1.79706,-3.40859,-8.0646,0.133194,-0.379991
-93.425,0.818881,0.0862671,5,31,0,99.228,0.280779,1.8812,0.919252,1.79464,0.0606423,2.24748,-1.1009,-3.11234,-1.61813,-1.45043,-2.22709,-1.46773,-3.53373,-7.96636,0.280779,0.0606423
