# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1256
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=carmodel_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,ar.1,sigma,lprior,b_Intercept
-193.877,0.919935,0.0906735,3,7,0,198.232,-0.0972404,0.791796,1.10635,-3.45215,-0.0972404
-193.877,0.502736,0.115585,2,5,0,196.533,-0.0972404,0.791796,1.10635,-3.45215,-0.0972404
-194.786,0.918621,0.0679893,3,7,0,195.241,-0.216577,0.810284,1.26201,-3.5691,-0.216577
-194.86,0.994929,0.0863735,4,15,0,196.095,-0.630064,0.768412,1.26766,-3.36991,-0.630064
-195.434,0.164368,0.125942,3,7,0,197.96,-0.562884,0.814283,1.25054,-3.57812,-0.562884
-195.648,0.999537,0.0401832,2,7,0,196.445,-0.592988,0.820727,1.23977,-3.60871,-0.592988
-195.648,0.03866,1.89049,2,3,0,197.816,-0.592988,0.820727,1.23977,-3.60871,-0.592988
-195.648,0,4.73588,0,1,1,196.155,-0.592988,0.820727,1.23977,-3.60871,-0.592988
-192.742,0.99714,0.476784,3,7,0,196.36,-0.101236,0.697041,1.09123,-3.07793,-0.101236
-192.393,0.99874,0.498698,3,7,0,193.048,-0.161977,0.668931,1.18906,-3.01314,-0.161977
-192.308,0.972081,0.676742,3,7,0,192.966,-0.263441,0.713394,1.13313,-3.13002,-0.263441
-192.473,0.985057,0.977983,2,3,0,192.523,-0.08504,0.672619,1.18242,-3.02778,-0.08504
-192.477,0.554872,1.59114,2,3,0,193.425,-0.163319,0.744212,1.1481,-3.25234,-0.163319
-192.746,0.921064,0.712054,2,3,0,193.974,-0.439514,0.700421,1.14628,-3.08449,-0.439514
-192.64,0.99579,1.00925,2,3,0,192.968,0.0151572,0.705372,1.18812,-3.13799,0.0151572
-193.645,0.456707,1.84656,1,1,0,193.776,-0.305995,0.691595,1.04774,-3.03876,-0.305995
-195.083,0.900842,0.621578,3,7,0,196.161,-0.442166,0.781911,1.30943,-3.43844,-0.442166
-192.568,0.986575,0.858053,2,3,0,195.573,-0.199556,0.736264,1.20861,-3.2335,-0.199556
-194.567,0.41885,1.55858,1,1,0,194.669,-0.471268,0.808891,1.1612,-3.52958,-0.471268
-192.742,0.974469,0.47702,2,7,0,196.05,-0.232232,0.719006,1.23852,-3.1759,-0.232232
-193.726,0.810981,0.838627,2,3,0,195.037,-0.429935,0.612393,1.21274,-2.8799,-0.429935
